21908.00	141	485	17122	71508.000000	1641943276	299.819505	35.224189	0.066600	2467.000000	7.150000
21597.00	141	486	17122	71828.000000	1641944881	299.819489	35.232089	0.066600	2042.000000	5.700000
21598.00	141	487	17122	71828.000000	1641944881	308.220544	41.035426	0.066600	1819.000000	5.880000
21920.00	141	488	17122	71508.000000	1641945261	299.828588	35.235101	0.066600	4971.000000	8.600000
21922.00	141	489	17122	71508.000000	1641945261	308.251481	41.029462	0.066600	3486.000000	6.410000
19772.00	141	490	17122	73676.000000	1641952801	83.862774	22.026160	0.066600	4880.000000	20.760000
19714.00	141	491	17122	73740.000000	1641953401	83.866878	22.028154	0.066600	9103.000000	22.420000
19596.00	141	492	17122	73860.000000	1641953721	83.853777	22.028173	0.066600	5315.000000	20.760000
19534.00	141	493	17122	73924.000000	1641954041	83.871783	22.031147	0.066600	5071.000000	19.650000
19472.00	141	494	17122	73988.000000	1641954361	83.868794	22.037151	0.066600	5392.000000	21.310000
19786.00	141	495	17122	73676.000000	1641954396	83.864881	22.030257	0.066600	29738.000000	25.720000
19412.00	141	496	17122	74052.000000	1641954681	83.870870	22.023148	0.066600	5159.000000	20.470000
19350.00	141	497	17122	74116.000000	1641955001	83.858871	22.024266	0.066600	5244.000000	20.320000
19292.00	141	498	17122	74180.000000	1641955326	83.866890	22.035154	0.066600	5053.000000	20.130000
19232.00	141	499	17122	74244.000000	1641955641	83.868775	22.026151	0.066600	4984.000000	20.090000
19170.00	141	500	17122	74308.000000	1641955966	83.862764	22.020160	0.066600	5042.000000	19.610000
19428.00	141	501	17122	74052.000000	1641956021	83.865775	22.026156	0.066600	25479.000000	25.220000
19808.00	141	502	17122	73676.000000	1641956051	83.865778	22.028156	0.066600	55218.000000	26.350000
18082.00	141	503	17122	75428.000000	1641961561	83.862765	22.020160	0.066600	4881.000000	19.290000
18020.00	141	504	17122	75492.000000	1641962081	83.856771	22.024269	0.066600	8259.000000	22.680000
17920.00	141	505	17122	75596.000000	1641962401	83.850769	22.023178	0.066600	4705.000000	19.760000
17858.00	141	506	17122	75660.000000	1641962721	83.855875	22.026170	0.066600	4768.000000	19.460000
31638.00	141	507	17122	71508.000000	1641943276	299.819505	35.224189	0.066600	2467.000000	7.150000
31326.00	141	508	17122	71828.000000	1641944881	299.819489	35.232089	0.066600	2042.000000	5.700000
31328.00	141	509	17122	71828.000000	1641944881	308.220544	41.035426	0.066600	1819.000000	5.880000
31650.00	141	510	17122	71508.000000	1641945261	299.828588	35.235101	0.066600	4971.000000	8.600000
31652.00	141	511	17122	71508.000000	1641945261	308.251481	41.029462	0.066600	3486.000000	6.410000
29502.00	141	512	17122	73676.000000	1641952801	83.862774	22.026160	0.066600	4880.000000	20.760000
29444.00	141	513	17122	73740.000000	1641953401	83.866878	22.028154	0.066600	9103.000000	22.420000
29326.00	141	514	17122	73860.000000	1641953721	83.853777	22.028173	0.066600	5315.000000	20.760000
29264.00	141	515	17122	73924.000000	1641954041	83.871783	22.031147	0.066600	5071.000000	19.650000
29202.00	141	516	17122	73988.000000	1641954361	83.868794	22.037151	0.066600	5392.000000	21.310000
29516.00	141	517	17122	73676.000000	1641954396	83.864881	22.030257	0.066600	29738.000000	25.720000
29142.00	141	518	17122	74052.000000	1641954681	83.870870	22.023148	0.066600	5159.000000	20.470000
29080.00	141	519	17122	74116.000000	1641955001	83.858871	22.024266	0.066600	5244.000000	20.320000
29020.00	141	520	17122	74180.000000	1641955326	83.866890	22.035154	0.066600	5053.000000	20.130000
28960.00	141	521	17122	74244.000000	1641955641	83.868775	22.026151	0.066600	4984.000000	20.090000
28898.00	141	522	17122	74308.000000	1641955966	83.862764	22.020160	0.066600	5042.000000	19.610000
29156.00	141	523	17122	74052.000000	1641956021	83.865775	22.026156	0.066600	25479.000000	25.220000
29536.00	141	524	17122	73676.000000	1641956051	83.865778	22.028156	0.066600	55218.000000	26.350000
27810.00	141	525	17122	75428.000000	1641961561	83.862765	22.020160	0.066600	4881.000000	19.290000
27748.00	141	526	17122	75492.000000	1641962081	83.856771	22.024269	0.066600	8259.000000	22.680000
27648.00	141	527	17122	75596.000000	1641962401	83.850769	22.023178	0.066600	4705.000000	19.760000
27586.00	141	528	17122	75660.000000	1641962721	83.855875	22.026170	0.066600	4768.000000	19.460000
32028.00	141	529	17122	75724.000000	1641963046	83.854873	22.025172	0.066600	4883.000000	20.600000
32326.00	141	530	17122	75428.000000	1641963081	83.855871	22.024270	0.066600	27511.000000	25.440000
31970.00	141	531	17122	75788.000000	1641963361	83.868783	22.030251	0.066600	4966.000000	21.040000
31910.00	141	532	17122	75852.000000	1641963681	83.860873	22.025163	0.066600	5397.000000	21.500000
31850.00	141	533	17122	75916.000000	1641964001	83.853763	22.019273	0.066600	5007.000000	20.520000
31790.00	141	534	17122	75980.000000	1641964321	83.856763	22.019269	0.066600	5292.000000	20.590000
31728.00	141	535	17122	76044.000000	1641964641	83.851771	22.024276	0.066600	5012.000000	20.450000
31986.00	141	536	17122	75788.000000	1641964681	83.858872	22.024266	0.066600	25629.000000	25.400000
32350.00	141	537	17122	75428.000000	1641964771	83.857871	22.024267	0.066600	53077.000000	26.150000
30724.00	141	538	17122	77068.000000	1641969756	256.242833	-37.860408	0.066600	1150.000000	6.460000
30662.00	141	539	17122	77132.000000	1641970076	256.251691	-37.841295	0.066600	1126.000000	6.470000
30600.00	141	540	17122	77196.000000	1641970401	256.236928	-37.902316	0.066600	931.000000	5.470000
30862.00	141	541	17122	76940.000000	1641970451	245.326412	-15.733642	0.066600	2733.000000	5.690000
